preprocessing,embeddings,micro_f1,macro_f1
"['d', 'eb']",sk,0.8066274253324613,0.7037030200456156
"['d', 'eb']",sk position,0.7936367653557225,0.6943439378106774
"['d', 'eb']",deps,0.8204444444444443,0.7216141987369816
"['d', 'eb']",deps  position,0.812513769552765,0.7199298198725992
"['d', 'eb']",deps sk,0.8040157136621563,0.7018528602371239
"['d', 'eb']",deps sk position,0.8016121809225257,0.7033588388098071
"['d', 'eb']",pos_tag,0.818381706244503,0.7214220479173148
"['d', 'eb']",pos_tag   position,0.8067410811993871,0.7163331778394891
"['d', 'eb']",pos_tag  sk,0.8083424807903402,0.7117662072354913
"['d', 'eb']",pos_tag  sk position,0.8037988344485215,0.7024298255675809
"['d', 'eb']",pos_tag deps,0.8080985915492958,0.7147764687459888
"['d', 'eb']",pos_tag deps  position,0.8153573013759432,0.7167654692290778
"['d', 'eb']",pos_tag deps sk,0.8002672010688042,0.6940243201179388
"['d', 'eb']",pos_tag deps sk position,0.8174929638449879,0.7172118959485501
"['d', 'nb']",,0.8020600089565607,0.7101599634164267
"['d', 'nb']",position,0.8134998904229674,0.7094593991451836
"['d', 'nb']",sk,0.8124456048738034,0.7098289727881943
"['d', 'nb']",sk position,0.7963940193491645,0.6970034400154306
"['d', 'nb']",deps,0.8170194003527337,0.7127077265604463
"['d', 'nb']",deps  position,0.8041327764343813,0.7116472252545367
"['d', 'nb']",deps sk,0.8034001743679162,0.7009780225852834
"['d', 'nb']",deps sk position,0.801926023199825,0.6922395102137052
"['d', 'nb']",pos_tag,0.81203007518797,0.7091687872319038
"['d', 'nb']",pos_tag   position,0.8076923076923076,0.7148227777651266
"['d', 'nb']",pos_tag  sk,0.8061470911086717,0.7050522353405047
"['d', 'nb']",pos_tag  sk position,0.8102142393421338,0.7034711478814044
"['d', 'nb']",pos_tag deps,0.8083060109289617,0.715797720453375
"['d', 'nb']",pos_tag deps  position,0.8189116859946476,0.7159701055747533
"['d', 'nb']",pos_tag deps sk,0.8080939947780679,0.7144354207939693
"['d', 'nb']",pos_tag deps sk position,0.8169381107491857,0.7184937904871112
"['b', 'p']",,0.8736335811106254,0.7917805862932418
"['b', 'p']",position,0.8713819368879216,0.7921739270477264
"['b', 'p']",sk,0.8765484835540366,0.7940948064229602
"['b', 'p']",sk position,0.8810668998688238,0.8103269664250982
"['b', 'p']",deps,0.8764192139737991,0.7968019836937859
"['b', 'p']",deps  position,0.8739678400695351,0.7972791079457058
"['b', 'p']",deps sk,0.8701067615658363,0.8026873096728442
"['b', 'p']",deps sk position,0.8663101604278074,0.7887962233268806
"['b', 'p']",pos_tag,0.8764680295780775,0.7993137650811319
"['b', 'p']",pos_tag   position,0.8731164009609085,0.8039141752820992
"['b', 'p']",pos_tag  sk,0.8770851624231782,0.803050846438706
"['b', 'p']",pos_tag  sk position,0.8655649843680214,0.7913650079251804
"['b', 'p']",pos_tag deps,0.8747833622183709,0.8022321097014233
"['b', 'p']",pos_tag deps  position,0.8832420591456737,0.8073318049228172
"['b', 'p']",pos_tag deps sk,0.8677319130048823,0.7936056404436419
"['b', 'p']",pos_tag deps sk position,0.8806194880619488,0.8066406720768927
"['b', 'eb']",,0.8034875922199867,0.7018068594621699
"['b', 'eb']",position,0.8126371215445372,0.7100040713641428
"['b', 'eb']",sk,0.8129976328814289,0.7139409806335802
"['b', 'eb']",sk position,0.8034225537516454,0.7102759420844257
"['b', 'eb']",deps,0.8120731438642873,0.7132484289124229
"['b', 'eb']",deps  position,0.8064375815571988,0.714076958870396
"['b', 'eb']",deps sk,0.7939609236234458,0.6975651587433124
"['b', 'eb']",deps sk position,0.8094612352168199,0.7102267388048197
"['b', 'eb']",pos_tag,0.8143236074270557,0.7128900696748864
"['b', 'eb']",pos_tag   position,0.8071729023688289,0.7202880926698176
"['b', 'eb']",pos_tag  sk,0.8119938717443642,0.7206899911063236
"['b', 'eb']",pos_tag  sk position,0.8079670924442519,0.7160569306325028
"['b', 'eb']",pos_tag deps,0.8083885209713024,0.7178695776823821
